"Scope","Bucket","Path","Bytes","KB","Lines","Ext"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-archive-Plans/phases/P01-product-truth/README.md","403","0.39","11",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-archive-Plans/phases/P02-engine-lock/README.md","481","0.47","13",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-archive-Plans/phases/P03-select-delete/README.md","546","0.53","14",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-archive-Plans/phases/P04-orbit-continuity/README.md","451","0.44","12",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-archive-Plans/phases/P05-symbols-svg/README.md","620","0.61","12",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-archive-Plans/phases/P06-save-honesty/README.md","398","0.39","11",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-archive-Plans/phases/P07-draw-place-journey/01-react-open3d.md","5740","5.61","65",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-archive-Plans/phases/P07-draw-place-journey/04-playwright-evidence.md","6054","5.91","87",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-archive-Plans/phases/P07-draw-place-journey/README.md","467","0.46","12",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-archive-Plans/phases/P09-shortcuts-chrome/06-ui-shortcuts.md","3592","3.51","61",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-archive-Plans/phases/P09-shortcuts-chrome/README.md","463","0.45","12",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-archive-Plans/phases/P10-evidence-handover/P10-evidence-handover.md","19501","19.04","368",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-archive-Plans/phases/P10-evidence-handover/P10-suggestions.md","3672","3.59","45",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-archive-Plans/phases/P10-evidence-handover/README.md","375","0.37","11",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-archive-Plans/phases/README.md","2318","2.26","24",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-archive-Plans/phases-README.md","2318","2.26","24",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-archive-Plans/README.md","1676","1.64","57",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-archive-Plans/README-archive-Plans.md","1676","1.64","57",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-archive-Plans/Research/RESEARCH-MAP.md","14651","14.31","194",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-archive-Plans/Research/RESEARCH-MAP-trustdata.md","14706","14.36","194",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-archive-Plans/Research/RESULTS-MAP.md","18961","18.52","324",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-archive-Plans/Research/STRUCTURE-ADVICE.md","19030","18.58","323",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-archive-Plans/Research/STRUCTURE-ADVICE-2.md","18377","17.95","294",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-archive-Plans/Research/STRUCTURE-REWRITE-NOTE.md","5491","5.36","123",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-museum/plans1-residual/00-START.md","8885","8.68","189",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-museum/plans1-residual/admin-svg-backend/2026-07-10-global-standard-modules.md","34657","33.84","805",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-museum/plans1-residual/admin-svg-backend/admin-current.md","1276","1.25","24",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-museum/plans1-residual/admin-svg-backend/admin-proposed.md","2670","2.61","41",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-museum/plans1-residual/admin-svg-backend/README.md","635","0.62","13",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-museum/plans1-residual/admin-svg-backend/svg-pipeline-current.md","3501","3.42","57",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-museum/plans1-residual/admin-svg-backend/svg-pipeline-proposed.md","2527","2.47","41",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-museum/plans1-residual/CHECKLIST-MASTER.md","5573","5.44","195",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-museum/plans1-residual/EXECUTABLE-PLAN.md","41386","40.42","1011",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-museum/plans1-residual/EXECUTE-NOW.md","4620","4.51","124",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-museum/plans1-residual/noise/BUILD-ONE-PLAN.md","9230","9.01","238",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-museum/plans1-residual/noise/CHANGES-JUSTIFICATION.md","11710","11.44","204",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-museum/plans1-residual/noise/FOUR-SEAT-REVIEW.md","6742","6.58","188",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-museum/plans1-residual/noise/ONE-PLAN-DEBATE.md","874","0.85","23",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-museum/plans1-residual/noise/README.md","170","0.17","5",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-museum/plans1-residual/noise/REFERENCES.md","6531","6.38","168",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-museum/plans1-residual/noise/tree-owner-reports/README.md","403","0.39","16",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-museum/plans1-residual/noise/TREE-OWNER-SYNTHESIS.md","8920","8.71","196",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-museum/plans1-residual/P11-CHECKLIST.md","12309","12.02","283",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-museum/plans1-residual/README.md","908","0.89","29",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-museum/plans1-residual/START-HERE.md","683","0.67","13",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-museum/PlansA-execute-README.md","510","0.5","11",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-museum/PlansA-merge/diff/01-P01-product-truth.md","2112","2.06","43",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-museum/PlansA-merge/diff/02-P02-engine-lock.md","1580","1.54","33",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-museum/PlansA-merge/diff/03-P03-select-delete.md","1341","1.31","30",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-museum/PlansA-merge/diff/04-P04-orbit-continuity.md","1338","1.31","32",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-museum/PlansA-merge/diff/05-P05-symbols-svg.md","1205","1.18","30",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-museum/PlansA-merge/diff/06-P06-save-honesty.md","1809","1.77","44",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-museum/PlansA-merge/diff/07-P07-draw-place-journey.md","1897","1.85","41",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-museum/PlansA-merge/diff/08-P08-mesh-quality.md","1282","1.25","32",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-museum/PlansA-merge/diff/09-P09-shortcuts-chrome.md","1448","1.41","33",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-museum/PlansA-merge/diff/10-P10-handover-and-trees.md","3889","3.8","88",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-museum/PlansA-merge/MATRIX-Plans-vs-plans2-vs-PlansA.md","13069","12.76","270",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-museum/PlansA-merge/MERGE-NOTES.md","8356","8.16","144",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-museum/Plans-Others/00-PENDING.md","4081","3.99","84",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-museum/Plans-Others/01-RECAP.md","6687","6.53","133",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-museum/Plans-Others/02-HOW-TO-PROCEED.md","2235","2.18","101",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-museum/Plans-Others/03-SSR-CLOUD.md","2095","2.05","76",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-museum/Plans-Others/04-HONEST-QUALITY.md","3327","3.25","81",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-museum/Plans-Others/05-CODE-REVIEW.md","6073","5.93","133",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-museum/Plans-Others/06-A11Y-OPEN3D.md","6288","6.14","116",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-museum/Plans-Others/07-AGENT-PROCESS.md","625","0.61","12",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-museum/Plans-Others/08-EVIDENCE-INDEX.md","7605","7.43","120",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-museum/Plans-Others/09-VERIFY-SNAPSHOT.md","1153","1.13","45",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-museum/Plans-Others/10-REVIEW-FOLLOWUP.md","1351","1.32","31",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-museum/Plans-Others/12-WORKFLOW.md","2584","2.52","64",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-museum/Plans-Others/13-P0-1-DONE.md","1704","1.66","50",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-museum/Plans-Others/14-SCRIPTS-MENU.md","5355","5.23","122",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-museum/Plans-Others/15-P0-2-DONE.md","1061","1.04","21",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-museum/Plans-Others/16-RESULTS-RETENTION.md","1791","1.75","41",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-museum/Plans-Others/17-LICENSES-CLEARED.md","2935","2.87","46",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-museum/Plans-Others/18-PRODUCT-CONTEXT.md","3515","3.43","86",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-museum/Plans-Others/19-GOALS-SLICES.md","2476","2.42","44",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-museum/Plans-Others/20-ELON-STANDARD.md","600","0.59","14",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-museum/Plans-Others/README.md","2337","2.28","33",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-museum/Plans-Others/SESSION-RECAP.md","663","0.65","24",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-museum/p-track-archive/ADDENDUM-2026-07-10-CURRENT-REPROOF.md","8554","8.35","207",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-museum/p-track-archive/AGENT-RULES.md","1103","1.08","30",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-museum/p-track-archive/CHECKPOINTS.md","15046","14.69","164",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-museum/p-track-archive/code-reviews/P01-product-truth-CODE-REVIEW-REPORT.md","27434","26.79","371",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-museum/p-track-archive/code-reviews/P02-engine-lock-CODE-REVIEW-REPORT.md","22630","22.1","423",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-museum/p-track-archive/code-reviews/P03-select-delete-CODE-REVIEW-REPORT.md","16795","16.4","220",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-museum/p-track-archive/code-reviews/P04-orbit-continuity-CODE-REVIEW-REPORT.md","14539","14.2","206",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-museum/p-track-archive/code-reviews/P05-symbols-svg-CODE-REVIEW-REPORT.md","14817","14.47","215",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-museum/p-track-archive/code-reviews/P06-save-honesty-CODE-REVIEW-REPORT.md","15112","14.76","202",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-museum/p-track-archive/code-reviews/P07-draw-place-journey-CODE-REVIEW-REPORT.md","15819","15.45","224",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-museum/p-track-archive/code-reviews/P08-mesh-quality-CODE-REVIEW-REPORT.md","15142","14.79","226",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-museum/p-track-archive/code-reviews/P09-shortcuts-chrome-CODE-REVIEW-REPORT.md","14971","14.62","243",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-museum/p-track-archive/code-reviews/P10-evidence-handover-CODE-REVIEW-REPORT.md","20725","20.24","305",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-museum/p-track-archive/EXPERT-PASS.md","6240","6.09","87",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-museum/p-track-archive/GOVERNANCE-suggestions.md","8190","8","164",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-museum/p-track-archive/implementation-plans/P01-product-truth-IMPLEMENTATION-PLAN.md","83205","81.25","1765",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-museum/p-track-archive/implementation-plans/P02-engine-lock-IMPLEMENTATION-PLAN.md","70603","68.95","1833",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-museum/p-track-archive/implementation-plans/P03-select-delete-IMPLEMENTATION-PLAN.md","73586","71.86","2073",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-museum/p-track-archive/implementation-plans/P04-orbit-continuity-IMPLEMENTATION-PLAN.md","63689","62.2","1792",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-museum/p-track-archive/implementation-plans/P05-symbols-svg-IMPLEMENTATION-PLAN.md","60170","58.76","1594",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-museum/p-track-archive/implementation-plans/P06-save-honesty-IMPLEMENTATION-PLAN.md","77869","76.04","2165",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-museum/p-track-archive/implementation-plans/P07-draw-place-journey-IMPLEMENTATION-PLAN.md","71651","69.97","1799",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-museum/p-track-archive/implementation-plans/P08-mesh-quality-IMPLEMENTATION-PLAN.md","60951","59.52","1705",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-museum/p-track-archive/implementation-plans/P09-shortcuts-chrome-IMPLEMENTATION-PLAN.md","69240","67.62","1896",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-museum/p-track-archive/implementation-plans/P10-evidence-handover-IMPLEMENTATION-PLAN.md","60902","59.47","1589",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-museum/p-track-archive/implementation-plans/README.md","698","0.68","11",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-museum/p-track-archive/MASTER-CHECKLIST.md","14217","13.88","256",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-museum/p-track-archive/P08-suggestions.md","6030","5.89","104",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-museum/p-track-cards-full/P01-product-truth/P01-product-truth.md","37912","37.02","806",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-museum/p-track-cards-full/P02-engine-lock/P02-engine-lock.md","35712","34.88","566",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-museum/p-track-cards-full/P03-select-delete/P03-select-delete.md","13072","12.77","264",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-museum/p-track-cards-full/P04-orbit-continuity/P04-orbit-continuity.md","28518","27.85","497",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-museum/p-track-cards-full/P05-symbols-svg/P05-symbols-svg.md","10508","10.26","185",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-museum/p-track-cards-full/P06-save-honesty/P06-save-honesty.md","35261","34.43","523",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-museum/p-track-cards-full/P07-draw-place-journey/P07-draw-place-journey.md","11662","11.39","217",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-museum/p-track-cards-full/P08-mesh-quality/P08-mesh-quality.md","25325","24.73","386",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-museum/p-track-cards-full/P09-shortcuts-chrome/P09-shortcuts-chrome.md","26773","26.15","412",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-museum/p-track-cards-full/P10-evidence-handover/P10-evidence-handover.md","19579","19.12","368",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-museum/trustdata-history/10-EVIDENCE-PATH-LOCK.md","5263","5.14","103",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-museum/trustdata-history/20-START-AND-INDEX-REVIEW.md","10030","9.79","181",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-museum/trustdata-history/30-DEFERRED-IDEAS.md","1181","1.15","28",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-museum/trustdata-history/40-MAP-REVIEW.md","9429","9.21","122",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-museum/trustdata-history/50-STRUCTURE-REVIEW.md","19052","18.61","323",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-museum/trustdata-history/51-STRUCTURE-REVIEW-FOLLOW-UP.md","18377","17.95","294",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-museum/trustdata-history/60-STRUCTURE-DECISION.md","5520","5.39","123",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-plans1/00-START.md","8885","8.68","189",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-plans1/CHECKLIST-MASTER.md","5573","5.44","195",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-plans1/EXECUTABLE-PLAN.md","41386","40.42","1011",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-plans1/EXECUTE-NOW.md","4620","4.51","124",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-plans1/noise/BUILD-ONE-PLAN.md","9230","9.01","238",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-plans1/noise/CHANGES-JUSTIFICATION.md","11710","11.44","204",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-plans1/noise/FOUR-SEAT-REVIEW.md","6742","6.58","188",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-plans1/noise/ONE-PLAN-DEBATE.md","874","0.85","23",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-plans1/noise/README.md","170","0.17","5",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-plans1/noise/REFERENCES.md","6531","6.38","168",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-plans1/noise/tree-owner-reports/README.md","403","0.39","16",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-plans1/noise/TREE-OWNER-SYNTHESIS.md","8920","8.71","196",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-plans1/P11-CHECKLIST.md","12309","12.02","283",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-plans1/README.md","908","0.89","29",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-plans1/START-HERE.md","683","0.67","13",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/IDIOTS2-README.md","1006","0.98","19",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/MASTER-CHECKLIST.md","14217","13.88","256",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/MODULE-LAYOUT.md","949","0.93","41",".md"
"Plans (live)","Plans/Planner-track/modules","Plans/Planner-track/modules/P01-product-truth/plan/P01-product-truth.md","37467","36.59","804",".md"
"Plans (live)","Plans/Planner-track/modules","Plans/Planner-track/modules/P01-product-truth/research/07-oando-self-REPORT.md","7514","7.34","90",".md"
"Plans (live)","Plans/Planner-track/modules","Plans/Planner-track/modules/P01-product-truth/research/MASTER-CHART.md","5113","4.99","103",".md"
"Plans (live)","Plans/Planner-track/modules","Plans/Planner-track/modules/P01-product-truth/research/SYNTHESIS.md","1664","1.62","38",".md"
"Plans (live)","Plans/Planner-track/modules","Plans/Planner-track/modules/P01-product-truth/supporting/archive-packs/from-PlansA-execute/CODE-REVIEW-REPORT.md","27438","26.79","371",".md"
"Plans (live)","Plans/Planner-track/modules","Plans/Planner-track/modules/P01-product-truth/supporting/archive-packs/from-PlansA-execute/IMPLEMENTATION-PLAN.md","83205","81.25","1765",".md"
"Plans (live)","Plans/Planner-track/modules","Plans/Planner-track/modules/P01-product-truth/supporting/archive-packs/from-PlansA-execute/README.md","291","0.28","8",".md"
"Plans (live)","Plans/Planner-track/modules","Plans/Planner-track/modules/P01-product-truth/supporting/archive-packs/from-trustdata-dup/P01-suggestions.md","8176","7.98","118",".md"
"Plans (live)","Plans/Planner-track/modules","Plans/Planner-track/modules/P01-product-truth/supporting/impl/HOW.md","403","0.39","11",".md"
"Plans (live)","Plans/Planner-track/modules","Plans/Planner-track/modules/P01-product-truth/supporting/impl/IMPLEMENTATION-PLAN.md","83205","81.25","1765",".md"
"Plans (live)","Plans/Planner-track/modules","Plans/Planner-track/modules/P01-product-truth/supporting/impl/IMPLEMENTATION-PLAN-PlansA.md","83198","81.25","1765",".md"
"Plans (live)","Plans/Planner-track/modules","Plans/Planner-track/modules/P01-product-truth/supporting/impl/MERGE-DIFF.md","2112","2.06","43",".md"
"Plans (live)","Plans/Planner-track/modules","Plans/Planner-track/modules/P01-product-truth/supporting/notes/P01-suggestions.md","8084","7.89","118",".md"
"Plans (live)","Plans/Planner-track/modules","Plans/Planner-track/modules/P01-product-truth/supporting/reviews/CARD-FULL-museum.md","37912","37.02","806",".md"
"Plans (live)","Plans/Planner-track/modules","Plans/Planner-track/modules/P01-product-truth/supporting/reviews/CODE-REVIEW-REPORT.md","27434","26.79","371",".md"
"Plans (live)","Plans/Planner-track/modules","Plans/Planner-track/modules/P01-product-truth/supporting/reviews/CODE-REVIEW-REPORT-PlansA.md","27438","26.79","371",".md"
"Plans (live)","Plans/Planner-track/modules","Plans/Planner-track/modules/P01-product-truth/supporting/reviews/IDIOTS2-REPORT.md","66180","64.63","1373",".md"
"Plans (live)","Plans/Planner-track/modules","Plans/Planner-track/modules/P02-engine-lock/plan/P02-engine-lock.md","35097","34.27","566",".md"
"Plans (live)","Plans/Planner-track/modules","Plans/Planner-track/modules/P02-engine-lock/research/01-engine-REPORT.md","8944","8.73","152",".md"
"Plans (live)","Plans/Planner-track/modules","Plans/Planner-track/modules/P02-engine-lock/research/DEEP_STACK_AND_PACKAGES.md","8938","8.73","224",".md"
"Plans (live)","Plans/Planner-track/modules","Plans/Planner-track/modules/P02-engine-lock/research/ENGINE-DECISION.md","1254","1.22","29",".md"
"Plans (live)","Plans/Planner-track/modules","Plans/Planner-track/modules/P02-engine-lock/research/PACKAGES_INSPIRATION.md","1337","1.31","34",".md"
"Plans (live)","Plans/Planner-track/modules","Plans/Planner-track/modules/P02-engine-lock/research/RESEARCH-2026-07-05-packages.md","10189","9.95","91",".md"
"Plans (live)","Plans/Planner-track/modules","Plans/Planner-track/modules/P02-engine-lock/research/RESEARCH-2026-07-05-packages-plann-compare.md","16301","15.92","176",".md"
"Plans (live)","Plans/Planner-track/modules","Plans/Planner-track/modules/P02-engine-lock/research/RESEARCH-2026-07-05-synthesis.md","2098","2.05","49",".md"
"Plans (live)","Plans/Planner-track/modules","Plans/Planner-track/modules/P02-engine-lock/supporting/archive-packs/from-PlansA-execute/CODE-REVIEW-REPORT.md","22634","22.1","423",".md"
"Plans (live)","Plans/Planner-track/modules","Plans/Planner-track/modules/P02-engine-lock/supporting/archive-packs/from-PlansA-execute/IMPLEMENTATION-PLAN.md","70603","68.95","1833",".md"
"Plans (live)","Plans/Planner-track/modules","Plans/Planner-track/modules/P02-engine-lock/supporting/archive-packs/from-PlansA-execute/README.md","287","0.28","8",".md"
"Plans (live)","Plans/Planner-track/modules","Plans/Planner-track/modules/P02-engine-lock/supporting/archive-packs/from-trustdata-dup/02-canvas-2d.md","4481","4.38","64",".md"
"Plans (live)","Plans/Planner-track/modules","Plans/Planner-track/modules/P02-engine-lock/supporting/archive-packs/from-trustdata-dup/05-packages-stack.md","5234","5.11","77",".md"
"Plans (live)","Plans/Planner-track/modules","Plans/Planner-track/modules/P02-engine-lock/supporting/archive-packs/from-trustdata-dup/P02-suggestions.md","8774","8.57","144",".md"
"Plans (live)","Plans/Planner-track/modules","Plans/Planner-track/modules/P02-engine-lock/supporting/impl/HOW.md","481","0.47","13",".md"
"Plans (live)","Plans/Planner-track/modules","Plans/Planner-track/modules/P02-engine-lock/supporting/impl/IMPLEMENTATION-PLAN.md","70603","68.95","1833",".md"
"Plans (live)","Plans/Planner-track/modules","Plans/Planner-track/modules/P02-engine-lock/supporting/impl/IMPLEMENTATION-PLAN-PlansA.md","70505","68.85","1833",".md"
"Plans (live)","Plans/Planner-track/modules","Plans/Planner-track/modules/P02-engine-lock/supporting/impl/MERGE-DIFF.md","1580","1.54","33",".md"
"Plans (live)","Plans/Planner-track/modules","Plans/Planner-track/modules/P02-engine-lock/supporting/notes/02-canvas-2d.md","4481","4.38","64",".md"
"Plans (live)","Plans/Planner-track/modules","Plans/Planner-track/modules/P02-engine-lock/supporting/notes/05-packages-stack.md","5156","5.04","77",".md"
"Plans (live)","Plans/Planner-track/modules","Plans/Planner-track/modules/P02-engine-lock/supporting/notes/P02-suggestions.md","8629","8.43","144",".md"
"Plans (live)","Plans/Planner-track/modules","Plans/Planner-track/modules/P02-engine-lock/supporting/reviews/CARD-FULL-museum.md","35712","34.88","566",".md"
"Plans (live)","Plans/Planner-track/modules","Plans/Planner-track/modules/P02-engine-lock/supporting/reviews/CODE-REVIEW-REPORT.md","22630","22.1","423",".md"
"Plans (live)","Plans/Planner-track/modules","Plans/Planner-track/modules/P02-engine-lock/supporting/reviews/CODE-REVIEW-REPORT-PlansA.md","22613","22.08","423",".md"
"Plans (live)","Plans/Planner-track/modules","Plans/Planner-track/modules/P02-engine-lock/supporting/reviews/IDIOTS2-REPORT.md","48202","47.07","1005",".md"
